ID,location,pressure_dbar,temperature,salinity_permil,DO_mg_L,depth
id0001,wP01,0.3,17.34,31.895,8.735,0.29812692
id0002,wP01,0.4,17.337,31.874,8.713,0.397502464
id0003,wP01,0.5,17.33,31.848,8.707,0.496877959
id0004,wP01,0.6,17.343,31.947,8.691,0.596253407
id0005,wP01,0.7,17.367,31.829,8.657,0.695628805
id0006,wP01,0.8,17.327,31.796,8.62,0.795004156
id0007,wP01,0.9,17.319,31.788,8.601,0.894379459
id0008,wP01,1,17.317,31.788,8.604,0.993754713
id0009,wP01,1.1,17.316,31.787,8.597,1.093129919
id0010,wP01,1.2,17.316,31.787,8.596,1.192505077
id0011,wP01,1.3,17.317,31.791,8.593,1.291880187
id0012,wP01,1.4,17.317,31.785,8.585,1.391255248
id0013,wP01,1.5,17.316,31.784,8.584,1.490630262
id0014,wP01,1.6,17.315,31.785,8.582,1.590005227
id0015,wP01,1.7,17.315,31.805,8.566,1.689380143
id0016,wP01,1.8,17.325,31.815,8.552,1.788755012
id0017,wP01,1.9,17.322,31.802,8.536,1.888129832
id0018,wP01,2,17.32,31.81,8.516,1.987504605
id0019,wP01,2.1,17.319,31.81,8.502,2.086879329
id0020,wP01,2.2,17.319,31.814,8.495,2.186254004
id0021,wP01,2.3,17.32,31.809,8.505,2.285628632
id0022,wP01,2.4,17.323,31.829,8.494,2.385003211
id0023,wP01,2.5,17.323,31.816,8.464,2.484377742
id0024,wP01,2.6,17.318,31.801,8.469,2.583752225
id0025,wP01,2.7,17.319,31.799,8.45,2.68312666
id0026,wP01,2.8,17.319,31.801,8.442,2.782501046
id0027,wP01,2.9,17.318,31.812,8.441,2.881875385
id0028,wP01,3,17.319,31.806,8.433,2.981249675
id0029,wP01,3.1,17.319,31.806,8.435,3.080623916
id0030,wP01,3.2,17.318,31.801,8.436,3.17999811
id0031,wP01,3.3,17.319,31.804,8.428,3.279372255
id0032,wP01,3.4,17.321,31.827,8.394,3.378746353
id0033,wP01,3.5,17.32,31.821,8.388,3.478120402
id0034,wP01,3.6,17.319,31.829,8.39,3.577494402
id0035,wP01,3.7,17.321,31.828,8.386,3.676868355
id0036,wP01,3.8,17.326,31.845,8.37,3.776242259
id0037,wP01,3.9,17.322,31.828,8.355,3.875616115
id0038,wP01,4,17.32,31.826,8.35,3.974989923
id0039,wP01,4.1,17.32,31.826,8.344,4.074363683
id0040,wP01,4.2,17.321,31.831,8.352,4.173737394
id0041,wP01,4.3,17.32,31.831,8.352,4.273111058
id0042,wP01,4.4,17.321,31.838,8.352,4.372484673
id0043,wP01,4.5,17.325,31.865,8.339,4.47185824
id0044,wP01,4.6,17.322,31.879,8.331,4.571231758
id0045,wP01,4.7,17.325,31.857,8.341,4.670605229
id0046,wP01,4.8,17.325,31.859,8.318,4.769978651
id0047,wP01,4.9,17.325,31.847,8.31,4.869352025
id0048,wP01,5,17.324,31.845,8.31,4.968725351
id0049,wP01,5.1,17.324,31.846,8.316,5.068098628
id0050,wP01,5.2,17.324,31.843,8.321,5.167471858
id0051,wP01,5.3,17.325,31.845,8.319,5.266845039
id0052,wP01,5.4,17.334,31.855,8.301,5.366218172
id0053,wP01,5.5,17.327,31.859,8.306,5.465591256
id0054,wP01,5.6,17.326,31.858,8.305,5.564964293
id0055,wP01,5.7,17.327,31.853,8.302,5.664337281
id0056,wP01,5.8,17.326,31.851,8.3,5.763710221
id0057,wP01,5.9,17.326,31.85,8.302,5.863083113
id0058,wP01,6,17.327,31.856,8.309,5.962455957
id0059,wP01,6.1,17.331,31.848,8.288,6.061828752
id0060,wP01,6.2,17.327,31.854,8.282,6.1612015
id0061,wP01,6.3,17.327,31.857,8.295,6.260574199
id0062,wP01,6.4,17.328,31.873,8.287,6.359946849
id0063,wP01,6.5,17.333,31.862,8.269,6.459319452
id0064,wP01,6.6,17.33,31.863,8.284,6.558692007
id0065,wP01,6.7,17.329,31.862,8.282,6.658064513
id0066,wP01,6.8,17.33,31.866,8.286,6.757436971
id0067,wP01,6.9,17.331,31.864,8.284,6.856809381
id0068,wP01,7,17.332,31.865,8.268,6.956181742
id0069,wP01,7.1,17.336,31.861,8.267,7.055554055
id0070,wP01,7.2,17.336,31.864,8.268,7.154926321
id0071,wP01,7.3,17.334,31.866,8.276,7.254298538
id0072,wP01,7.4,17.332,31.869,8.28,7.353670706
id0073,wP01,7.5,17.333,31.87,8.28,7.453042827
id0074,wP01,7.6,17.334,31.867,8.273,7.552414899
id0075,wP01,7.7,17.334,31.865,8.281,7.651786923
id0076,wP01,7.8,17.334,31.879,8.286,7.751158899
id0077,wP02,0.3,17.397,31.96,8.749,0.29812692
id0078,wP02,0.4,17.389,31.927,8.711,0.397502464
id0079,wP02,0.5,17.398,31.934,8.679,0.496877959
id0080,wP02,0.6,17.397,31.951,8.647,0.596253407
id0081,wP02,0.7,17.393,31.967,8.614,0.695628805
id0082,wP02,0.8,17.376,31.921,8.592,0.795004156
id0083,wP02,0.9,17.371,31.912,8.569,0.894379459
id0084,wP02,1,17.379,31.91,8.566,0.993754713
id0085,wP02,1.1,17.374,31.948,8.535,1.093129919
id0086,wP02,1.2,17.372,31.919,8.523,1.192505077
id0087,wP02,1.3,17.374,31.908,8.521,1.291880187
id0088,wP02,1.4,17.375,31.907,8.518,1.391255248
id0089,wP02,1.5,17.378,31.904,8.509,1.490630262
id0090,wP02,1.6,17.377,31.908,8.51,1.590005227
id0091,wP02,1.7,17.373,31.909,8.483,1.689380143
id0092,wP02,1.8,17.374,31.904,8.481,1.788755012
id0093,wP02,1.9,17.371,31.904,8.475,1.888129832
id0094,wP02,2,17.367,31.906,8.47,1.987504605
id0095,wP02,2.1,17.366,31.909,8.467,2.086879329
id0096,wP02,2.2,17.365,31.905,8.448,2.186254004
id0097,wP02,2.3,17.365,31.907,8.445,2.285628632
id0098,wP02,2.4,17.365,31.903,8.44,2.385003211
id0099,wP02,2.5,17.364,31.906,8.445,2.484377742
id0100,wP02,2.6,17.361,31.904,8.423,2.583752225
id0101,wP02,2.7,17.359,31.903,8.402,2.68312666
id0102,wP02,2.8,17.359,31.903,8.384,2.782501046
id0103,wP02,2.9,17.358,31.901,8.376,2.881875385
id0104,wP02,3,17.358,31.904,8.389,2.981249675
id0105,wP02,3.1,17.357,31.905,8.366,3.080623916
id0106,wP02,3.2,17.357,31.901,8.36,3.17999811
id0107,wP02,3.3,17.358,31.9,8.349,3.279372255
id0108,wP02,3.4,17.358,31.899,8.356,3.378746353
id0109,wP02,3.5,17.359,31.912,8.362,3.478120402
id0110,wP02,3.6,17.359,31.902,8.352,3.577494402
id0111,wP02,3.7,17.358,31.902,8.343,3.676868355
id0112,wP02,3.8,17.358,31.9,8.34,3.776242259
id0113,wP02,3.9,17.359,31.898,8.349,3.875616115
id0114,wP02,4,17.358,31.903,8.344,3.974989923
id0115,wP02,4.1,17.359,31.902,8.336,4.074363683
id0116,wP02,4.2,17.359,31.901,8.346,4.173737394
id0117,wP02,4.3,17.359,31.901,8.337,4.273111058
id0118,wP02,4.4,17.359,31.9,8.343,4.372484673
id0119,wP02,4.5,17.359,31.901,8.345,4.47185824
id0120,wP02,4.6,17.36,31.906,8.338,4.571231758
id0121,wP02,4.7,17.36,31.897,8.321,4.670605229
id0122,wP02,4.8,17.359,31.901,8.33,4.769978651
id0123,wP02,4.9,17.359,31.903,8.315,4.869352025
id0124,wP02,5,17.359,31.9,8.333,4.968725351
id0125,wP02,5.1,17.359,31.901,8.34,5.068098628
id0126,wP02,5.2,17.357,31.899,8.337,5.167471858
id0127,wP02,5.3,17.355,31.899,8.335,5.266845039
id0128,wP02,5.4,17.354,31.9,8.341,5.366218172
id0129,wP02,5.5,17.353,31.899,8.329,5.465591256
id0130,wP02,5.6,17.355,31.899,8.331,5.564964293
id0131,wP02,5.7,17.357,31.9,8.334,5.664337281
id0132,wP02,5.8,17.357,31.897,8.336,5.763710221
id0133,wP02,5.9,17.356,31.893,8.34,5.863083113
id0134,wP02,6,17.355,31.898,8.334,5.962455957
id0135,wP02,6.1,17.353,31.899,8.323,6.061828752
id0136,wP02,6.2,17.353,31.894,8.31,6.1612015
id0137,wP02,6.3,17.352,31.894,8.308,6.260574199
id0138,wP02,6.4,17.352,31.894,8.307,6.359946849
id0139,wP02,6.5,17.352,31.895,8.305,6.459319452
id0140,wP02,6.6,17.351,31.897,8.289,6.558692007
id0141,wP02,6.7,17.352,31.897,8.307,6.658064513
id0142,wP02,6.8,17.351,31.893,8.302,6.757436971
id0143,wP02,6.9,17.351,31.897,8.297,6.856809381
id0144,wP02,7,17.351,31.898,8.286,6.956181742
id0145,wP02,7.1,17.352,31.894,8.284,7.055554055
id0146,wP02,7.2,17.352,31.895,8.283,7.154926321
id0147,wP02,7.3,17.352,31.896,8.289,7.254298538
id0148,wP02,7.4,17.353,31.896,8.286,7.353670706
id0149,wP02,7.5,17.352,31.895,8.28,7.453042827
id0150,wP02,7.6,17.352,31.897,8.278,7.552414899
id0151,wP02,7.7,17.352,31.896,8.264,7.651786923
id0152,wP02,7.8,17.352,31.896,8.274,7.751158899
id0153,wP02,7.9,17.352,31.897,8.281,7.850530827
id0154,wP02,8,17.353,31.896,8.27,7.949902707
id0155,wP02,8.1,17.352,31.896,8.272,8.049274538
id0156,wP02,8.2,17.352,31.895,8.273,8.148646321
id0157,wP02,8.3,17.352,31.893,8.273,8.248018056
id0158,wP02,8.4,17.353,31.895,8.272,8.347389743
id0159,wP02,8.5,17.353,31.897,8.26,8.446761381
id0160,wP02,8.6,17.352,31.897,8.26,8.546132971
id0161,wP02,8.7,17.353,31.895,8.263,8.645504513
id0162,wP02,8.8,17.353,31.897,8.262,8.744876007
id0163,wP02,8.9,17.353,31.894,8.268,8.844247453
id0164,wP02,9,17.353,31.896,8.263,8.94361885
id0165,wP02,9.1,17.354,31.895,8.253,9.0429902
id0166,wP02,9.2,17.354,NA,8.256,9.142361501
id0167,wP02,9.3,17.357,NA,NA,9.241732754
id0168,wP03,0.3,17.313,31.566,8.769,0.29812692
id0169,wP03,0.4,17.315,31.595,8.741,0.397502464
id0170,wP03,0.5,17.315,31.611,8.71,0.496877959
id0171,wP03,0.6,17.315,31.621,8.698,0.596253407
id0172,wP03,0.7,17.315,31.615,8.618,0.695628805
id0173,wP03,0.8,17.318,31.63,8.611,0.795004156
id0174,wP03,0.9,17.322,31.637,8.6,0.894379459
id0175,wP03,1,17.321,31.643,8.583,0.993754713
id0176,wP03,1.1,17.32,31.634,8.59,1.093129919
id0177,wP03,1.2,17.32,31.619,8.582,1.192505077
id0178,wP03,1.3,17.324,31.661,8.59,1.291880187
id0179,wP03,1.4,17.327,31.679,8.586,1.391255248
id0180,wP03,1.5,17.332,31.692,8.586,1.490630262
id0181,wP03,1.6,17.331,31.681,8.599,1.590005227
id0182,wP03,1.7,17.335,31.701,8.585,1.689380143
id0183,wP03,1.8,17.335,31.691,8.59,1.788755012
id0184,wP03,1.9,17.335,31.701,8.591,1.888129832
id0185,wP03,2,17.336,31.702,8.59,1.987504605
id0186,wP03,2.1,17.337,31.704,8.613,2.086879329
id0187,wP03,2.2,17.338,31.701,8.583,2.186254004
id0188,wP03,2.3,17.344,31.732,8.602,2.285628632
id0189,wP03,2.4,17.348,31.783,8.588,2.385003211
id0190,wP03,2.5,17.351,31.782,8.584,2.484377742
id0191,wP03,2.6,17.359,31.811,8.583,2.583752225
id0192,wP03,2.7,17.361,31.785,8.581,2.68312666
id0193,wP03,2.8,17.363,31.753,8.577,2.782501046
id0194,wP03,2.9,17.363,31.772,8.575,2.881875385
id0195,wP03,3,17.357,31.733,8.574,2.981249675
id0196,wP03,3.1,17.359,31.738,8.568,3.080623916
id0197,wP03,3.2,17.362,31.745,8.574,3.17999811
id0198,wP03,3.3,17.362,31.789,8.575,3.279372255
id0199,wP03,3.4,17.362,31.776,8.576,3.378746353
id0200,wP03,3.5,17.36,31.78,8.584,3.478120402
id0201,wP03,3.6,17.362,31.775,8.603,3.577494402
id0202,wP03,3.7,17.363,31.749,8.602,3.676868355
id0203,wP03,3.8,17.362,31.733,8.603,3.776242259
id0204,wP03,3.9,17.362,31.727,8.609,3.875616115
id0205,wP03,4,17.364,31.718,8.59,3.974989923
id0206,wP03,4.1,17.363,31.735,8.559,4.074363683
id0207,wP03,4.2,17.365,31.721,8.552,4.173737394
id0208,wP03,4.3,17.362,31.718,8.534,4.273111058
id0209,wP03,4.4,17.362,31.727,8.523,4.372484673
id0210,wP03,4.5,17.363,31.746,8.521,4.47185824
id0211,wP03,4.6,17.364,31.695,8.519,4.571231758
id0212,wP03,4.7,17.354,31.671,8.544,4.670605229
id0213,wP03,4.8,17.347,31.663,8.541,4.769978651
id0214,wP03,4.9,17.346,31.668,8.528,4.869352025
id0215,wP03,5,17.345,31.675,8.522,4.968725351
id0216,wP03,5.1,17.347,31.676,8.502,5.068098628
id0217,wP03,5.2,17.347,31.681,8.502,5.167471858
id0218,wP03,5.3,17.346,31.682,8.491,5.266845039
id0219,wP03,5.4,17.343,31.701,8.484,5.366218172
id0220,wP03,5.5,17.345,31.698,8.482,5.465591256
id0221,wP03,5.6,17.362,31.741,8.488,5.564964293
id0222,wP03,5.7,17.365,31.739,8.484,5.664337281
id0223,wP03,5.8,17.365,31.725,8.487,5.763710221
id0224,wP03,5.9,17.362,31.716,8.494,5.863083113
id0225,wP03,6,17.361,31.717,8.484,5.962455957
id0226,wP03,6.1,17.362,31.725,8.498,6.061828752
id0227,wP03,6.2,17.363,31.728,8.469,6.1612015
id0228,wP03,6.3,17.37,31.773,8.467,6.260574199
id0229,wP03,6.4,17.365,31.718,8.477,6.359946849
id0230,wP03,6.5,17.363,31.718,8.473,6.459319452
id0231,wP03,6.6,17.363,31.737,8.483,6.558692007
id0232,wP03,6.7,17.366,31.738,8.481,6.658064513
id0233,wP03,6.8,17.359,31.778,8.466,6.757436971
id0234,wP03,6.9,17.344,31.814,8.465,6.856809381
id0235,wP03,7,17.355,31.781,8.472,6.956181742
id0236,wP03,7.1,17.347,31.805,8.469,7.055554055
id0237,wP03,7.2,17.322,31.829,8.467,7.154926321
id0238,wP03,7.3,17.319,31.837,8.459,7.254298538
id0239,wP03,7.4,17.317,31.833,8.454,7.353670706
id0240,wP03,7.5,17.316,31.835,8.457,7.453042827
id0241,wP03,7.6,17.317,31.843,8.457,7.552414899
id0242,wP03,7.7,17.323,31.842,8.449,7.651786923
id0243,wP03,7.8,17.322,31.84,8.447,7.751158899
id0244,wP03,7.9,17.32,31.841,8.448,7.850530827
id0245,wP03,8,17.321,31.839,8.429,7.949902707
id0246,wP03,8.1,17.321,31.844,8.429,8.049274538
id0247,wP03,8.2,17.334,31.867,8.433,8.148646321
id0248,wP03,8.3,17.339,31.87,8.429,8.248018056
id0249,wP03,8.4,17.342,31.877,8.423,8.347389743
id0250,wP03,8.5,17.343,31.874,8.421,8.446761381
id0251,wP03,8.6,17.344,31.873,8.424,8.546132971
id0252,wP03,8.7,17.35,31.884,8.426,8.645504513
id0253,wP03,8.8,17.37,31.939,8.43,8.744876007
id0254,wP03,8.9,17.377,31.938,8.425,8.844247453
id0255,wP03,9,17.377,31.957,8.428,8.94361885
id0256,wP03,9.1,17.382,31.949,8.449,9.0429902
id0257,wP03,9.2,17.382,31.945,8.453,9.142361501
id0258,wP03,9.3,17.386,31.959,8.454,9.241732754
id0259,wP03,9.4,17.388,31.966,8.467,9.341103958
id0260,wP03,9.5,17.383,31.978,8.479,9.440475115
id0261,wP03,9.6,17.38,31.964,8.47,9.539846223
id0262,wP03,9.7,17.383,31.996,8.481,9.639217283
id0263,wP03,9.8,17.389,31.995,8.483,9.738588295
id0264,wP03,9.9,17.391,31.994,8.491,9.837959258
id0265,wP03,10,17.393,31.991,8.489,9.937330174
id0266,wP03,10.1,17.391,31.991,8.498,10.03670104
id0267,wP03,10.2,17.39,31.994,8.5,10.13607186
id0268,wP03,10.3,17.391,31.964,8.482,10.23544263
id0269,wP04,0.3,17.485,32.013,9.356,0.29812692
id0270,wP04,0.4,17.507,31.989,9.316,0.397502464
id0271,wP04,0.5,17.522,31.986,9.25,0.496877959
id0272,wP04,0.6,17.526,31.989,9.185,0.596253407
id0273,wP04,0.7,17.521,31.972,9.142,0.695628805
id0274,wP04,0.8,17.509,31.966,9.094,0.795004156
id0275,wP04,0.9,17.495,31.983,9.067,0.894379459
id0276,wP04,1,17.488,31.992,9.032,0.993754713
id0277,wP04,1.1,17.488,31.983,8.974,1.093129919
id0278,wP04,1.2,17.495,31.973,8.936,1.192505077
id0279,wP04,1.3,17.488,31.988,8.915,1.291880187
id0280,wP04,1.4,17.486,31.988,8.905,1.391255248
id0281,wP04,1.5,17.479,31.985,8.883,1.490630262
id0282,wP04,1.6,17.47,31.985,8.863,1.590005227
id0283,wP04,1.7,17.46,31.991,8.835,1.689380143
id0284,wP04,1.8,17.461,31.995,8.829,1.788755012
id0285,wP04,1.9,17.461,31.986,8.807,1.888129832
id0286,wP04,2,17.459,31.99,8.802,1.987504605
id0287,wP04,2.1,17.457,31.996,8.785,2.086879329
id0288,wP04,2.2,17.454,31.991,8.774,2.186254004
id0289,wP04,2.3,17.449,31.995,8.76,2.285628632
id0290,wP04,2.4,17.446,32,8.752,2.385003211
id0291,wP04,2.5,17.45,32.005,8.735,2.484377742
id0292,wP04,2.6,17.457,32.007,8.731,2.583752225
id0293,wP04,2.7,17.461,32.001,8.724,2.68312666
id0294,wP04,2.8,17.461,32.002,8.725,2.782501046
id0295,wP04,2.9,17.46,32.004,8.719,2.881875385
id0296,wP04,3,17.46,32.004,8.715,2.981249675
id0297,wP04,3.1,17.46,32.006,8.702,3.080623916
id0298,wP04,3.2,17.458,31.996,8.697,3.17999811
id0299,wP04,3.3,17.454,31.996,8.705,3.279372255
id0300,wP04,3.4,17.451,31.998,8.701,3.378746353
id0301,wP04,3.5,17.448,32.007,8.698,3.478120402
id0302,wP04,3.6,17.445,32.011,8.693,3.577494402
id0303,wP04,3.7,17.449,32.026,8.679,3.676868355
id0304,wP04,3.8,17.463,32.01,8.671,3.776242259
id0305,wP04,3.9,17.472,31.988,8.666,3.875616115
id0306,wP04,4,17.462,31.98,8.673,3.974989923
id0307,wP04,4.1,17.445,31.996,8.669,4.074363683
id0308,wP04,4.2,17.441,32.007,8.67,4.173737394
id0309,wP04,4.3,17.44,32.015,8.663,4.273111058
id0310,wP04,4.4,17.445,32.016,8.661,4.372484673
id0311,wP04,4.5,17.442,31.996,8.663,4.47185824
id0312,wP04,4.6,17.433,32.012,8.645,4.571231758
id0313,wP04,4.7,17.433,32.011,8.639,4.670605229
id0314,wP04,4.8,17.434,32.006,8.646,4.769978651
id0315,wP04,4.9,17.433,32.006,8.641,4.869352025
id0316,wP04,5,17.431,32.01,8.629,4.968725351
id0317,wP04,5.1,17.43,32.009,8.629,5.068098628
id0318,wP04,5.2,17.43,32.008,8.627,5.167471858
id0319,wP04,5.3,17.43,32.007,8.619,5.266845039
id0320,wP04,5.4,17.429,32.008,8.619,5.366218172
id0321,wP04,5.5,17.428,32.01,8.609,5.465591256
id0322,wP04,5.6,17.422,32.002,8.604,5.564964293
id0323,wP04,5.7,17.417,32.01,8.593,5.664337281
id0324,wP04,5.8,17.415,32.014,8.595,5.763710221
id0325,wP04,5.9,17.416,32.013,8.597,5.863083113
id0326,wP04,6,17.417,32.012,8.597,5.962455957
id0327,wP04,6.1,17.418,32.011,8.59,6.061828752
id0328,wP04,6.2,17.416,32.013,8.588,6.1612015
id0329,wP04,6.3,17.416,32.013,8.59,6.260574199
id0330,wP04,6.4,17.417,32.011,8.58,6.359946849
id0331,wP04,6.5,17.415,32.013,8.583,6.459319452
id0332,wP04,6.6,17.414,32.014,8.577,6.558692007
id0333,wP04,6.7,17.413,32.015,8.561,6.658064513
id0334,wP04,6.8,17.413,32.015,8.56,6.757436971
id0335,wP04,6.9,17.413,32.014,8.559,6.856809381
id0336,wP04,7,17.414,32.015,8.573,6.956181742
id0337,wP04,7.1,17.413,32.014,8.573,7.055554055
